,unique_values,counts,category
0,Clear,611820,0
1,Mostly Cloudy,370397,2
2,Fair,328450,1
3,Overcast,320036,3
4,Partly Cloudy,264874,3
5,Scattered Clouds,175206,1
6,Light Rain,127851,4
7,Cloudy,113518,2
8,Light Snow,38699,7
9,Rain,29336,5
10,Haze,25357,5
11,Fog,16070,6
12,Heavy Rain,11095,6
13,Light Drizzle,9107,3
14,Light Thunderstorms and Rain,4450,5
15,Snow,4233,7
16,Thunderstorm,4029,6
17,Fair / Windy,3706,3
18,Smoke,2760,6
19,Heavy Thunderstorms and Rain,2340,7
20,Thunder in the Vicinity,2130,6
21,T-Storm,2115,6
22,Cloudy / Windy,2055,5
23,Thunderstorms and Rain,2032,6
24,Mostly Cloudy / Windy,1967,5
25,Light Freezing Rain,1939,6
26,Light Rain with Thunder,1909,6
27,Thunder,1625,6
28,Drizzle,1603,4
29,Partly Cloudy / Windy,1300,4
30,Patches of Fog,1289,5
31,Mist,1267,3
32,Heavy T-Storm,1239,6
33,Heavy Snow,1118,9
34,Light Rain / Windy,1033,7
35,Wintry Mix,789,6
36,Light Freezing Drizzle,760,5
37,Shallow Fog,625,3
38,Light Freezing Fog,479,5
39,Light Snow / Windy,448,8
40,Rain / Windy,298,6
41,Showers in the Vicinity,262,5
42,Blowing Snow,255,8
43,Light Ice Pellets,247,6
44,Heavy Drizzle,205,6
45,N/A Precipitation,156,5
46,Heavy Rain / Windy,148,8
47,Heavy T-Storm / Windy,145,8
48,Light Rain Showers,136,4
49,Widespread Dust,128,6
50,T-Storm / Windy,127,8
51,Ice Pellets,98,7
52,Rain Showers,95,6
53,Thunder / Windy,80,7
54,Haze / Windy,66,6
55,Drizzle and Fog,65,5
56,Blowing Dust / Windy,64,6
57,Fog / Windy,56,6
58,Light Rain Shower,52,4
59,Snow / Windy,46,9
60,Blowing Dust,43,5
61,Light Drizzle / Windy,28,6
62,Small Hail,28,5
63,Sand / Dust Whirlwinds,27,6
64,Squalls,26,8
65,Light Snow Showers,23,8
66,Heavy Snow / Windy,23,9
67,Light Thunderstorms and Snow,22,8
68,Wintry Mix / Windy,20,7
69,Freezing Rain,17,6
70,Funnel Cloud,13,9
71,Light Haze,10,3
72,Blowing Snow / Windy,10,9
73,Partial Fog,10,3
74,Snow and Sleet,9,9
75,Light Snow and Sleet,9,8
76,Snow and Sleet / Windy,9,9
77,Light Snow with Thunder,9,7
78,Heavy Thunderstorms with Small Hail,7,6
79,Heavy Rain Showers,7,7
80,Smoke / Windy,7,7
81,Heavy Snow with Thunder,6,9
82,Rain Shower,6,6
83,Heavy Sleet,6,7
84,Light Freezing Rain / Windy,6,7
85,Light Snow Grains,6,7
86,Squalls / Windy,5,9
87,Heavy Thunderstorms and Snow,5,9
88,Low Drifting Snow,5,7
89,Drizzle / Windy,4,6
90,Light Snow and Sleet / Windy,4,7
91,Heavy Blowing Snow,4,9
92,Heavy Ice Pellets,4,8
93,Snow Grains,4,7
94,Light Fog,3,5
95,Thunderstorms and Snow,3,9
96,Light Sleet,3,5
97,Light Hail,3,5
98,Sleet,3,6
99,Light Blowing Snow,3,7
100,Hail,2,7
101,Tornado,2,9
102,Sand / Dust Whirlwinds / Windy,2,8
103,Heavy Freezing Drizzle,2,7
104,Light Thunderstorm,2,6
105,Heavy Freezing Rain,2,7
106,Snow Showers,2,8
107,Blowing Sand,1,5
108,Freezing Rain / Windy,1,7
109,Light Snow Shower,1,7
110,Thunder / Wintry Mix / Windy,1,8
111,Snow and Thunder,1,9
112,Widespread Dust / Windy,1,8
113,Partial Fog / Windy,1,6
114,Dust Whirls,1,5
115,Light Rain Shower / Windy,1,6
116,Thunder and Hail / Windy,1,8
